,ISBN,rating
4479,849587363X,8.0
59,0060535733,8.0
60,0060548479,8.0
4473,8495376466,8.0
4471,8495359405,8.0
4468,8495178737,8.0
70,0060956445,8.0
4462,8489669635,8.0
74,0061003794,8.0
76,0061009059,8.0
4339,8480163437,8.0
196,0141302933,8.0
4333,8480161604,8.0
4150,8475090362,8.0
4136,8474619092,8.0
4135,8474619068,8.0
4134,847461905X,8.0
4133,8474619041,8.0
4132,8474619033,8.0
4131,8474619025,8.0
4130,8474619009,8.0
4129,8474618991,8.0
339,0307302024,8.0
4097,847454162X,8.0
4096,8474541425,8.0
4094,8474541050,8.0
4093,8474540526,8.0
4083,8474440556,8.0
4081,8474237297,8.0
364,0312088418,8.0
4062,8472238997,8.0
367,0312200404,8.0
4060,8472238911,8.0
381,0312490305,8.0
382,0312850239,8.0
388,0312864256,8.0
4058,8472238865,8.0
394,0312876912,8.0
396,0312876939,8.0
4051,8472236935,8.0
402,0312959842,8.0
4137,847461954,8.0
4151,8475090451,8.0
199,014230218X,8.0
4157,8475171109,8.0
4332,8479550597,8.0
205,0151006040,8.0
4320,8479276401,8.0
217,0192815326,8.0
225,0195074750,8.0
4304,8478882138,8.0
4303,8478809856,8.0
228,0198641583,8.0
4300,8478808620,8.0
4298,8478808183,8.0
4295,8478805265,8.0
4271,847783096,8.0
4268,8477830266,8.0
4267,847783024X,8.0
4265,8477830223,8.0
4263,8477830207,8.0
4262,8477830185,8.0
4261,8477830177,8.0
4260,8477830150,8.0
4259,8477830142,8.0
4257,847783010X,8.0
4241,8477204055,8.0
4217,8475968279,8.0
4212,8475965148,8.0
4205,8475560490,8.0
4203,8475309984,8.0
4165,8475303226,8.0
3530,8427201583,8.0
2086,0743475208,8.0
3382,842268456X,8.0
3326,8422663686,8.0
927,0394512316,8.0
3518,8427200463,8.0
928,0394529685,8.0
830,0380756501,8.0
3358,8422676389,8.0
3438,8423304256,8.0
3451,8423654966,8.0
3323,8422663643,8.0
3349,8422672979,8.0
3373,8422680319,8.0
3393,8422686325,8.0
3324,842266366X,8.0
3392,842268621X,8.0
3325,8422663678,8.0
989,0397002858,8.0
3464,8423992160,8.0
916,0385504209,8.0
3517,8427200439,8.0
843,0380784157,8.0
3461,8423970752,8.0
859,0380811065,8.0
857,0380808307,8.0
3462,8423973573,8.0
3321,842266298I,8.0
3287,842265847X,8.0
3352,8422674491,8.0
833,0380759268,8.0
926,0394441567,8.0
924,0393959074,8.0
3459,8423920518,8.0
834,0380761319,8.0
3394,8422686376,8.0
3322,8422663538,8.0
3357,8422676133,8.0
967,0394910400,8.0
3519,8427201168,8.0
3520,8427201249,8.0
3524,8427201389,8.0
888,0385259174,8.0
996,0399138250,8.0
3337,8422666774,8.0
3377,842268215X,8.0
3526,8427201494,8.0
3338,8422667673,8.0
3527,8427201516,8.0
3454,8423901564,8.0
820,0380710722,8.0
3528,8427201524,8.0
3490,842635095X,8.0
862,0380815583,8.0
853,0380802317,8.0
3257,8422645564,8.0
3472,8425309506,8.0
3523,8427201362,8.0
3522,842720132X,8.0
931,0394588428,8.0
3521,8427201303,8.0
3328,8422663708,8.0
3329,8422663724,8.0
3334,8422665816,8.0
3389,8422685442,8.0
3468,8424139070,8.0
876,038089968X,8.0
3390,8422685450,8.0
3481,8425334152,8.0
3265,842264892X,8.0
3469,8424156277,8.0
3455,8423913074,8.0
3289,8422658798,8.0
3210,8422638304,7.5
1740,067101420X,7.5
1989,0684853515,7.5
1988,0684853507,7.5
1191,0446526339,7.5
432,0316602051,7.5
1709,0670844527,7.5
1707,0670835382,7.5
1700,0670813028,7.5
1013,0399149848,7.5
1863,0671737627,7.5
1268,0451167805,7.5
801,0375504397,7.5
4231,8476344309,7.0
4232,847640252X,7.0
3176,842263094X,7.0
4154,8475094791,7.0
2267,0812562844,7.0
4197,8475308139,7.0
4233,8476402651,7.0
4155,847509645X,7.0
2398,0867307609,7.0
4229,8476340656,7.0
3177,842263127X,7.0
2271,0812571452,7.0
2395,086492304X,7.0
4230,8476341199,7.0
2411,0875420508,7.0
2405,0874311977,7.0
1,0002313219,7.0
4236,8476694237,7.0
3173,8422630796,7.0
4149,8475061052,7.0
4148,8475024939,7.0
4144,8474861136,7.0
4237,8476696248,7.0
3172,8422630745,7.0
3371,842267923X,7.0
3167,8422627868,7.0
3165,8422626330,7.0
3163,8422623145,7.0
2416,0875421717,7.0
2417,0875421857,7.0
4228,8476340648,7.0
4158,8475302548,7.0
2418,0875428681,7.0
4202,8475309844,7.0
4210,8475964516,7.0
4206,8475960405,7.0
3180,8422631520,7.0
3178,8422631334,7.0
4191,8475306675,7.0
4192,8475307140,7.0
2355,0836221311,7.0
4201,847530950X,7.0
4227,8476340591,7.0
4193,8475307620,7.0
4194,8475307825,7.0
4200,8475309283,7.0
2330,0821742736,7.0
4195,8475307892,7.0
4199,8475308791,7.0
4198,8475308244,7.0
2277,0812589041,7.0
3181,842263189X,7.0
4190,8475306179,7.0
4189,847530611X,7.0
4223,8476145950,7.0
4221,8476145462,7.0
4220,8475970044,7.0
4219,8475970028,7.0
4166,8475303439,7.0
4170,8475303641,7.0
4172,8475303676,7.0
2392,0849942713,7.0
4184,8475304605,7.0
2387,0843950412,7.0
4218,8475969011,7.0
4186,8475305016,7.0
4187,847530530X,7.0
4188,8475305644,7.0
3183,8422632128,7.0
4196,8475308074,7.0
2930,355175537X,7.0
3162,8422623064,7.0
3119,8420727474,7.0
2511,089577352X,7.0
2509,0895294419,7.0
3437,8423108562,7.0
4046,8472231879,7.0
3430,8422697351,7.0
3425,8422694107,7.0
3419,8422694042,7.0
4049,8472234150,7.0
3120,8420743550,7.0
3124,8421700022,7.0
4052,8472237699,7.0
4053,8472237702,7.0
4054,8472238334,7.0
4055,8472238407,7.0
3122,8420941026,7.0
3123,8421632787,7.0
4056,8472238415,7.0
2479,0892814926,7.0
4043,847223116X,7.0
2514,0898658586,7.0
3109,8420626945,7.0
4041,8472142418,7.0
3448,8423406466,7.0
3101,842060769X,7.0
4031,8470210386,7.0
2546,0919662099,7.0
4032,8470315889,7.0
4033,8470390260,7.0
3102,842061095X,7.0
3444,8423328813,7.0
3105,842061615X,7.0
4035,8470801015,7.0
4036,8471532352,7.0
4037,8471666391,7.0
2532,0916211517,7.0
2531,0916211185,7.0
3442,8423320219,7.0
2529,0915442841,7.0
3441,8423317374,7.0
4057,8472238857,7.0
3125,8421700146,7.0
3160,8422622424,7.0
4098,8474542960,7.0
4089,847454033X,7.0
4090,8474540422,7.0
4091,8474540453,7.0
4092,8474540488,7.0
2440,0880389095,7.0
4095,8474541131,7.0
3155,8422620197,7.0
2439,0880388382,7.0
2438,0880387769,7.0
4059,8472238873,7.0
4099,8474543010,7.0
2434,0880385480,7.0
3158,8422621266,7.0
4100,8474543339,7.0
4101,8474564662,7.0
4102,8474611997,7.0
4103,8474612004,7.0
3383,8422684608,7.0
4244,8477209804,7.0
2451,0882435205,7.0
2456,0886468655,7.0
4078,8474108292,7.0
2473,0886779995,7.0
3126,8421700472,7.0
3127,8421700715,7.0
3131,8422606615,7.0
4061,8472238970,7.0
4063,8472239039,7.0
4064,8472239063,7.0
4066,8472239586,7.0
4067,8472239594,7.0
2464,0886776848,7.0
4068,8472239608,7.0
2463,0886776430,7.0
2462,0886776317,7.0
4069,8472453723,7.0
2461,0886775213,7.0
4073,8473864026,7.0
4074,847386560X,7.0
2449,0881843008,7.0
4270,8477830304,7.0
2262,0812535545,7.0
4444,8486763080,7.0
2137,077473129X,7.0
2135,0771098758,7.0
4438,8486491835,7.0
4439,8486623685,7.0
4440,8486639158,7.0
4442,8486639522,7.0
4443,8486639646,7.0
2131,0771037953,7.0
3230,842264066X,7.0
3318,8422662213,7.0
4432,8486411238,7.0
3317,8422660423,7.0
2127,0771014856,7.0
3232,8422641135,7.0
3316,8422660342,7.0
4448,8487403220,7.0
4451,8487746187,7.0
3301,842265959X,7.0
3293,8422659220,7.0
3234,8422642069,7.0
4435,8486433347,7.0
4429,848627916X,7.0
4459,8489618712,7.0
2155,0786708670,7.0
2168,0786903295,7.0
2166,0786901683,7.0
3336,8422666030,7.0
3335,8422665875,7.0
4398,8483106590,7.0
4400,8483106914,7.0
4402,8483107740,7.0
4405,8483280035,7.0
4408,8484370291,7.0
3229,8422640457,7.0
4428,8485859944,7.0
4417,8485224159,7.0
4418,848522440X,7.0
4419,8485224574,7.0
4423,8485704096,7.0
4424,848570410X,7.0
4425,8485704118,7.0
2149,0785814914,7.0
2148,0785814892,7.0
4426,8485704711,7.0
3235,8422643553,7.0
3237,842264388X,7.0
2170,0786906642,7.0
3266,842264924I,7.0
4495,8497932145,7.0
2098,0752272411,7.0
2097,0743532945,7.0
4496,8870090345,7.0
3270,8422652897,7.0
3247,8422645327,7.0
4502,9505118643,7.0
3269,8422652889,7.0
3267,8422650711,7.0
2094,0743483510,7.0
2102,0752584855,7.0
3264,8422648601,7.0
4513,9506141134,7.0
4515,9561308924,7.0
4518,9684035950,7.0
4519,9684322046,7.0
3260,8422647672,7.0
3259,842264763X,7.0
2089,0743477073,7.0
3258,8422646048,7.0
2101,0752584847,7.0
3241,8422644673,7.0
3238,842264441X,7.0
2107,0758202555,7.0
3288,8422658739,7.0
3286,8422658267,7.0
3281,8422656035,7.0
4472,8495359537,7.0
3280,8422655802,7.0
4475,8495501473,7.0
3278,8422654032,7.0
3277,842265394X,7.0
2109,0760702969,7.0
3239,8422644452,7.0
3272,8422653168,7.0
3274,8422653273,7.0
2106,0758200412,7.0
4481,8495941252,7.0
4482,8495980096,7.0
2103,0752597558,7.0
4484,8496123081,7.0
4485,8496172090,7.0
4486,849617221X,7.0
4487,8496172430,7.0
2169,0786904364,7.0
2171,0786907916,7.0
4245,847727147X,7.0
3196,8422635569,7.0
2238,0806938277,7.0
2237,0806927798,7.0
4276,8478096167,7.0
2235,0806520310,7.0
4278,8478098623,7.0
4286,8478760717,7.0
4293,8478801960,7.0
3195,8422635550,7.0
4297,8478807276,7.0
3356,8422675498,7.0
4275,8478093303,7.0
3355,8422675463,7.0
3197,8422635577,7.0
3198,8422635585,7.0
3353,8422674877,7.0
4316,8479013710,7.0
4317,8479018682,7.0
4321,8479530006,7.0
4322,8479530936,7.0
2224,0805000739,7.0
2239,0806996188,7.0
4272,8478082441,7.0
4326,8479532165,7.0
4256,8477830088,7.0
4246,847727164X,7.0
4249,8477357862,7.0
4250,8477394423,7.0
4251,847748032X,7.0
4252,8477480397,7.0
4253,8477480567,7.0
2255,0812509242,7.0
4254,8477650160,7.0
4255,8477825629,7.0
3187,8422634716,7.0
4269,8477830274,7.0
4258,8477830126,7.0
3361,8422678268,7.0
3188,8422634872,7.0
3189,8422635496,7.0
3360,8422676915,7.0
3190,842263550X,7.0
3191,8422635518,7.0
3192,8422635526,7.0
3193,8422635534,7.0
4323,8479531487,7.0
3348,8422672138,7.0
4396,8483106043,7.0
4384,8483100622,7.0
3341,8422671255,7.0
4362,8483000393,7.0
2187,078692974X,7.0
4365,8483001276,7.0
4379,8483100258,7.0
3340,8422670852,7.0
2186,0786929537,7.0
4382,8483100541,7.0
4383,8483100592,7.0
4387,8483100908,7.0
2190,0786932724,7.0
4388,8483102307,7.0
2182,0786928549,7.0
2181,0786928514,7.0
2180,078692845X,7.0
4391,8483105357,7.0
2178,0786926597,7.0
2177,0786926554,7.0
2176,0786926538,7.0
4394,8483106000,7.0
2189,0786931361,7.0
2191,0786932813,7.0
3200,8422635607,7.0
3345,8422671891,7.0
3203,8422636123,7.0
4334,8480161744,7.0
3207,8422637685,7.0
4336,8480162422,7.0
4337,848016283X,7.0
4338,8480162848,7.0
3208,8422637782,7.0
3209,842263824X,7.0
4341,8480164778,7.0
4351,8482380001,7.0
2192,0787120758,7.0
4353,8482384228,7.0
4356,8482563653,7.0
4357,8482567365,7.0
3211,8422638452,7.0
2196,0802130208,7.0
4358,8482641115,7.0
4359,8482644114,7.0
2194,0792453263,7.0
3342,842267127I,7.0
3449,842363258X,7.0
2578,1550138596,7.0
2552,093108962X,7.0
2848,2264006919,7.0
3682,8432221864,7.0
3005,8401442222,7.0
3684,8432221899,7.0
2845,2264004118,7.0
3685,8432221902,7.0
2842,2264001747,7.0
3686,8432221910,7.0
3687,8432221929,7.0
3688,8432221937,7.0
2839,2253170429,7.0
3689,8432221945,7.0
3007,8401460212,7.0
3009,8401462746,7.0
3692,843222202X,7.0
2835,2253060348,7.0
3014,8401491029,7.0
2833,2253058157,7.0
2832,225305786X,7.0
2831,2253031798,7.0
3694,8432222046,7.0
3695,8432222054,7.0
3681,8432221856,7.0
2849,2264008229,7.0
3657,8432205842,7.0
3680,8432221848,7.0
2858,2267004836,7.0
3661,8432221538,7.0
3662,8432221643,7.0
3004,8401427207,7.0
3664,843222166X,7.0
3665,8432221678,7.0
3666,8432221686,7.0
3667,8432221694,7.0
2853,2266004034,7.0
3668,8432221708,7.0
3669,8432221716,7.0
3670,8432221724,7.0
3671,8432221732,7.0
3672,8432221740,7.0
3673,8432221759,7.0
3674,8432221767,7.0
3675,8432221775,7.0
3676,8432221783,7.0
3677,8432221791,7.0
3678,8432221805,7.0
3679,8432221821,7.0
3696,8432222062,7.0
2828,2253026271,7.0
2827,2253006750,7.0
3697,8432222070,7.0
3717,8432222275,7.0
2810,2226002847,7.0
2809,2221007722,7.0
3718,8432222283,7.0
3721,8432222313,7.0
3722,8432222321,7.0
3723,843222233X,7.0
3724,8432222348,7.0
3725,8432222356,7.0
3726,8432222380,7.0
3727,8432222399,7.0
2802,2203312173,7.0
2801,2203218074,7.0
3728,8432222402,7.0
3729,8432222410,7.0
3730,8432222429,7.0
3731,8432222437,7.0
2799,207074955X,7.0
2798,2070727157,7.0
3732,8432222445,7.0
3733,8432222453,7.0
2811,2226014799,7.0
3715,8432222259,7.0
3714,8432222240,7.0
2822,2246286816,7.0
3698,8432222089,7.0
3699,8432222097,7.0
3494,8426429602,7.0
3701,84322221119,7.0
3702,8432222127,7.0
3703,8432222135,7.0
3704,8432222143,7.0
3705,8432222151,7.0
3706,843222216X,7.0
2821,2246286018,7.0
3020,8401498422,7.0
3707,8432222178,7.0
2819,2246007232,7.0
3708,8432222186,7.0
2817,2234048028,7.0
2816,2228127116,7.0
3016,8401491851,7.0
3710,8432222208,7.0
3712,8432222224,7.0
3493,8426411886,7.0
3499,8427008767,7.0
3655,8432070157,7.0
3735,843222247X,7.0
2966,840132291X,7.0
3562,8427210981,7.0
3567,8427908040,7.0
3568,8427931204,7.0
3570,842820893X,7.0
3571,8428325529,7.0
2902,2864240114,7.0
2901,2862150533,7.0
2973,8401323282,7.0
2899,2844121578,7.0
2898,284362178X,7.0
2897,2842710835,7.0
2896,2842630858,7.0
2974,8401323304,7.0
2980,8401323967,7.0
3578,8429700781,7.0
3579,8429712828,7.0
3588,8429735240,7.0
3591,8429739378,7.0
3516,8427200269,7.0
2888,2803614324,7.0
3513,8427029489,7.0
2968,8401322995,7.0
2965,8401322863,7.0
3654,8432069264,7.0
2955,8401240697,7.0
2928,3551755353,7.0
2932,3822868078,7.0
2927,3551755345,7.0
2926,3551755337,7.0
2925,3551755329,7.0
2924,3551755310,7.0
3525,842720146X,7.0
2935,7478808671,7.0
2936,8120813871,7.0
2918,2908957086,7.0
2940,8401240107,7.0
2916,2903157294,7.0
2944,8401240298,7.0
2945,8401240301,7.0
2946,8401240379,7.0
2913,2877303004,7.0
2948,8401240417,7.0
2950,8401240484,7.0
2951,8401240514,7.0
2952,8401240557,7.0
2953,8401240662,7.0
3595,8429742727,7.0
2983,8401324734,7.0
2988,8401335337,7.0
3600,842974505X,7.0
2869,2702419542,7.0
3623,8431512075,7.0
3624,843158355X,7.0
2867,2700210182,7.0
3626,8432037311,7.0
2866,26030000217,7.0
3627,8432038237,7.0
3628,8432041971,7.0
3503,8427013744,7.0
3642,8432047759,7.0
2864,2277301736,7.0
3644,8432053821,7.0
3648,8432068020,7.0
3502,8427013736,7.0
3650,8432069140,7.0
3651,8432069159,7.0
3652,8432069191,7.0
3501,8427013477,7.0
2862,2277300667,7.0
3653,843206923X,7.0
2860,2267016397,7.0
2870,2703302118,7.0
2871,2705000631,7.0
3622,8431510706,7.0
3608,8430578633,7.0
3511,8427026218,7.0
2885,2742738576,7.0
3602,8429748644,7.0
3604,8430077707,7.0
3605,8430577017,7.0
2882,2742730729,7.0
2881,2730402144,7.0
3509,8427025645,7.0
3607,8430577270,7.0
2991,8401371716,7.0
2872,2705000941,7.0
2879,2720100110,7.0
2878,2715805640,7.0
3610,8430584749,7.0
3508,8427024436,7.0
3614,8431022221,7.0
3615,8431022299,7.0
3507,842702407X,7.0
3618,8431503467,7.0
3620,8431504382,7.0
3734,8432222461,7.0
3736,8432222488,7.0
4015,8467205318,7.0
2688,157064120X,7.0
2686,1570426821,7.0
2685,1570424640,7.0
2681,156865765X,7.0
3931,8440644124,7.0
2679,156718961X,7.0
3932,8440648383,7.0
2677,1567188079,7.0
3465,8423992306,7.0
3077,8420427934,7.0
2672,1567183042,7.0
3934,8440658966,7.0
3078,8420428116,7.0
3083,8420432016,7.0
2663,1565112318,7.0
3939,8440674112,7.0
2659,1565040783,7.0
2657,1565040538,7.0
2655,1565040295,7.0
2654,1565040201,7.0
2653,1564144941,7.0
2652,1564144879,7.0
3467,8424128540,7.0
3074,8408050133,7.0
2729,1862047626,7.0
3926,8440636342,7.0
3906,8439588585,7.0
2725,1858685648,7.0
3907,8439588925,7.0
2721,1853263613,7.0
2719,1853263370,7.0
2718,1853263338,7.0
2717,1853260535,7.0
2714,184193013X,7.0
3909,8439591691,7.0
2710,1585671169,7.0
2709,1585421065,7.0
3911,8439592183,7.0
2706,1575662663,7.0
3917,8439711115,7.0
3919,8440220588,7.0
2700,1573228214,7.0
3921,8440609191,7.0
2699,1573226122,7.0
2697,1572970669,7.0
2696,1572970251,7.0
3923,8440620136,7.0
3941,8440676077,7.0
2642,1560768452,7.0
2641,1560766344,7.0
3089,8420478725,7.0
2593,1551668378,7.0
3976,8447302113,7.0
3977,8447302237,7.0
3978,844730230X,7.0
3980,8447313476,7.0
3983,8447313565,7.0
2581,1550547364,7.0
3984,844731842,7.0
2929,3551755361,7.0
3094,8420509515,7.0
3987,8448301927,7.0
3990,8449503353,7.0
2574,1400000408,7.0
3991,844950337X,7.0
3457,8423920240,7.0
2571,0969069502,7.0
3993,8449996171,7.0
4001,8466300570,7.0
4002,8466301240,7.0
3098,8420604488,7.0
3453,8423800037,7.0
3093,8420482552,7.0
3974,8447302091,7.0
3458,8423920399,7.0
2612,1552780023,7.0
2639,1560763760,7.0
2635,1560761105,7.0
3948,8440690347,7.0
3949,8440691459,7.0
3954,8440694660,7.0
3956,8441400156,7.0
3958,844140206X,7.0
3959,8441409439,7.0
3960,8441510547,7.0
3961,8441511446,7.0
2599,1551669625,7.0
3963,8445802682,7.0
3966,844730003X,7.0
3968,8447300099,7.0
3970,8447301826,7.0
3971,8447301834,7.0
3972,8447302075,7.0
3973,8447302083,7.0
2601,1551923580,7.0
2600,1551801892,7.0
3473,8425313279,7.0
3905,8439588550,7.0
3028,8401520738,7.0
3034,8402025064,7.0
3489,842613193X,7.0
3487,8425508355,7.0
3764,8432994413,7.0
3767,8433495461,7.0
3769,8433551367X,7.0
3770,8433551396,7.0
3771,843355140X,7.0
2774,2040218246,7.0
3773,8433566431,7.0
3774,8433902040,7.0
3041,8402090443,7.0
3776,8433905554,7.0
2772,2040170197,7.0
3777,8433905635,7.0
3779,8433906798,7.0
3042,8403071981,7.0
3781,8433906917,7.0
3782,843390695X,7.0
3783,8433906984,7.0
3784,8433908200,7.0
3786,8433908502,7.0
3036,8402060633,7.0
3760,843229585X,7.0
2731,1875137955,7.0
3758,8432245925,7.0
2796,2070565815,7.0
3491,8426351735,7.0
2795,2070513793,7.0
3739,8432222518,7.0
2793,2070425479,7.0
3740,8432222526,7.0
3741,8432222542,7.0
3742,8432222550,7.0
3743,8432222569,7.0
3744,8432222577,7.0
3745,8432222585,7.0
3746,8432222593,7.0
3747,8432222615,7.0
3748,8432222623,7.0
2787,2070380564,7.0
3749,8432222631,7.0
3750,843222264X,7.0
3751,8432222658,7.0
3752,8432222666,7.0
3753,8432222674,7.0
3756,8432223372,7.0
2767,2020482401,7.0
3787,8433908561,7.0
2766,2020331632,7.0
3790,8433908804,7.0
3873,8434589818,7.0
3875,8434827166,7.0
2751,1903025133,7.0
3053,8408013025,7.0
3879,8435001792,7.0
2747,1895455545,7.0
3477,8425329604,7.0
3881,8435015173,7.0
3882,843503352X,7.0
3895,8437607000,7.0
2743,1890856029,7.0
3056,8408015486,7.0
3901,8439500041,7.0
2741,1887354271,7.0
2740,1886155011,7.0
2739,1884822738,7.0
3475,8425327571,7.0
3058,8408017136,7.0
2736,1880418568,7.0
2735,1879431637,7.0
3904,8439588534,7.0
3871,8434588943,7.0
3870,8434588927,7.0
3869,8434588897,7.0
3050,840801014X,7.0
3793,8433908863,7.0
3795,8433909126,7.0
3796,8433910868,7.0
3801,8433912615,7.0
3485,8425414296,7.0
3484,8425413699,7.0
3049,8403681011,7.0
2761,2020226510,7.0
3843,8433920863,7.0
3848,8433923110,7.0
3868,8434588870,7.0
3853,8433923439,7.0
3855,8433923501,7.0
3859,8433931067,7.0
2759,2020050536,7.0
3051,8408011200,7.0
2757,2013219466,7.0
3864,8434588811,7.0
3866,8434588846,7.0
3867,8434588854,7.0
2758,2020043483,7.0
0,0002255049,7.0
2084,074346754X,7.0
1273,0451173139,7.0
1180,0446362468,7.0
1189,0446520802,7.0
1201,0446610038,7.0
1205,0446672289,7.0
1225,0449223833,7.0
1230,0449904067,7.0
1240,0451139739,7.0
1243,0451150317,7.0
1249,0451158601,7.0
1254,0451160452,7.0
1256,0451161343,7.0
1261,0451163524,7.0
1276,0451177096,7.0
1171,0441478069,7.0
1278,0451180232,7.0
1285,0451188462,7.0
1290,0451194071,7.0
1292,0451198646,7.0
1297,0451204530,7.0
1301,0451205669,7.0
1308,0451403673,7.0
1310,0451405366,7.0
1313,0451406869,7.0
1319,0451458591,7.0
1326,0451524934,7.0
1329,0451526279,7.0
1172,0441478123,7.0
1170,0441385540,7.0
1339,0452267757,7.0
1088,0439404371,7.0
937,0394757661,7.0
2083,0743464435,7.0
977,0395051401,7.0
992,0399128433,7.0
1004,039914563X,7.0
1021,0413625400,7.0
1025,0425060446,7.0
1061,0425171078,7.0
1067,0425182673,7.0
1070,0425185710,7.0
1071,042518756X,7.0
1085,0439295025,7.0
1103,0440204321,7.0
1166,0441294677,7.0
1105,0440206707,7.0
1108,0440209633,7.0
1110,0440211476,7.0
1112,0440211492,7.0
1119,044022165X,7.0
1125,0440225701,7.0
1129,0440234743,7.0
1133,0440236711,7.0
1154,0441004873,7.0
1155,0441005241,7.0
1158,0441011136,7.0
1161,044110276X,7.0
1334,0452257743,7.0
1346,0452279755,7.0
1834,0671692690,7.0
1757,0671027573,7.0
1695,0670272663,7.0
1710,0670851086,7.0
1714,0670864013,7.0
1716,067087146X,7.0
1725,0671003461,7.0
1730,0671008943,7.0
1736,0671013955,7.0
1737,0671013963,7.0
1738,0671013971,7.0
1739,067101398X,7.0
1742,0671014463,7.0
1745,0671019759,7.0
1759,0671032550,7.0
1687,0613973143,7.0
1765,0671034774,7.0
1766,0671035347,7.0
1767,0671035460,7.0
1768,067103619X,7.0
1772,0671042394,7.0
1780,0671047884,7.0
1781,0671319639,7.0
1791,0671502522,7.0
1792,0671516922,7.0
1795,0671521500,7.0
1819,0671652419,7.0
1830,0671684027,7.0
1689,0658003860,7.0
1682,0609610597,7.0
1350,0460870599,7.0
1489,0553273914,7.0
1353,0486285537,7.0
1397,0517123150,7.0
1399,0517149591,7.0
1467,0553246364,7.0
1469,0553246798,7.0
1470,0553247204,7.0
1473,0553249916,7.0
1477,0553257412,7.0
1479,0553259210,7.0
1480,0553259873,7.0
1481,0553263714,7.0
1482,0553265784,7.0
1502,0553297260,7.0
1681,0609601032,7.0
1503,0553297996,7.0
1504,055329802X,7.0
1506,0553298062,7.0
1517,0553564684,7.0
1520,0553566067,7.0
1545,055357549X,7.0
1556,0553584367,7.0
1557,0553584898,7.0
1560,0553801171,7.0
1565,0572015445,7.0
1568,0586024409,7.0
1665,059055526X,7.0
922,0393303756,7.0
920,0385720955,7.0
894,0385314760,7.0
443,0340653833,7.0
211,015216250X,7.0
212,0152162577,7.0
226,0195408195,7.0
366,0312192843,7.0
392,031287216X,7.0
397,0312890419,7.0
399,0312924585,7.0
422,0316106909,7.0
426,0316126446,7.0
439,0316776963,7.0
440,0316777730,7.0
442,0340393130,7.0
446,0340742496,7.0
208,0152006729,7.0
449,0345260791,7.0
450,0345275802,7.0
457,0345307674,7.0
464,0345316509,7.0
465,0345316665,7.0
472,0345330005,7.0
474,0345330056,7.0
476,0345331826,7.0
485,0345350057,7.0
488,0345353145,7.0
489,0345354621,7.0
493,034536550X,7.0
210,015204941X,7.0
207,0152002391,7.0
877,0380973405,7.0
71,006099486X,7.0
2,0004723708,7.0
5,0006498140,7.0
17,0028636279,7.0
19,0028981294,7.0
32,0060090375,7.0
34,0060092645,7.0
47,0060245603,7.0
53,0060391782,7.0
55,006039367X,7.0
61,0060560754,7.0
65,0060927216,7.0
67,006092991X,7.0
87,0061032093,7.0
206,0151191549,7.0
96,0061054267,7.0
107,0062513346,7.0
108,0062514628,7.0
123,0070118833,7.0
139,0140011749,7.0
145,0140032193,7.0
164,0140196099,7.0
165,0140196161,7.0
175,0140366857,7.0
180,0140435905,7.0
193,0141000198,7.0
198,0142002267,7.0
509,0345386132,7.0
514,0345404319,7.0
515,0345407113,7.0
817,0380703882,7.0
708,0373122764,7.0
716,0373123787,7.0
724,0373168373,7.0
727,0373170998,7.0
736,0373223927,7.0
747,0373224907,7.0
748,037322513X,7.0
751,037322639X,7.0
752,0373242859,7.0
795,0375406158,7.0
805,037592423X,7.0
806,0376030445,7.0
819,0380708213,7.0
517,0345416872,7.0
824,0380727293,7.0
825,0380750260,7.0
827,0380752875,7.0
829,0380756269,7.0
836,0380762277,7.0
837,0380776049,7.0
838,0380776162,7.0
844,0380786443,7.0
845,0380789019,7.0
849,0380795116,7.0
854,0380803305,7.0
870,0380820854,7.0
704,0373122616,7.0
703,0373122446,7.0
702,0373122373,7.0
699,0373121113,7.0
526,0345424654,7.0
536,0345440781,7.0
549,0345462327,7.0
557,037303010X,7.0
560,0373030193,7.0
589,0373031556,7.0
593,0373032056,7.0
594,0373032420,7.0
604,0373033443,7.0
605,037303346X,7.0
608,0373034148,7.0
615,0373084579,7.0
622,0373099967,7.0
630,0373106289,7.0
636,0373108311,7.0
637,0373108370,7.0
643,0373109822,7.0
647,0373111657,7.0
655,0373113633,7.0
671,0373116039,7.0
681,0373117620,7.0
683,0373117922,7.0
686,037311804X,7.0
690,0373118368,7.0
695,0373119054,7.0
1832,067169071X,7.0
2263,0812550293,7.0
2013,0689824750,7.0
2058,0743424425,7.0
2057,0743418522,7.0
1942,0679452869,7.0
2032,0739300105,7.0
1999,0688155081,7.0
1857,0671736817,7.0
2030,0738700614,7.0
1856,0671736809,7.0
1897,067179552X,7.0
1914,0671880594,7.0
1956,0679751521,7.0
1889,0671760513,7.0
1924,0679310614,7.0
1986,0684849143,7.0
1922,0673992012,7.0
2002,0688166776,7.0
1875,067174142X,7.0
2069,0743444051,7.0
2027,0722536747,7.0
1894,0671778714,7.0
2060,074343112X,7.0
1900,0671797476,7.0
2033,0739400460,7.0
1848,0671729527,7.0
2076,0743448383,7.0
1858,067173685X,7.0
1918,0671885367,7.0
2022,070543513X,7.0
1895,0671792369,7.0
1892,0671778633,7.0
1845,0671722751,7.0
2023,0712666338,7.0
1847,0671723421,7.0
1913,0671878719,7.0
1921,0673992004,7.0
2049,0743237188,7.0
